Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
22	2	70000	1	0	1	1	0	0	1	1	5
25	2	120,000	8	1	1	1	1	1	1	1	3
13	2				1	1	0				
	3	100000	0.7	1	1	1	1	0	1	1	5
16	4				1	0	0				
5	4	5,000	0.9	0	1	0	0	0	1	1	2
23	4	30000	1	0	1	1	0	0	0	0	4
12	4	30,000	1	1	1	1	0	1	1	1	4
8	3	100000	5	0	1	1	0	1	1	1	5
6	5	50,000	3	0	1	1	0	0	1	1	5
19	5		1	1	1	0	0	1	0	0	5
24	2	500,000	55	0	1	1	0	1	1	1	3
4	1	70,000	45		1	1	0			0	
21	4	125000	1	1	1	1	0	1	0	0	4
12	3	350,000	52	1	1	0	0	0	0	1	5
	3	230,000	60	1	1	1	0	0	0	1	5
24	3	50,000	7	1	1	1	0	1	0	0	1
4	4	115,000	80	1	1	1	0	1	1	1	5
	2	130,000	23	0	1	1	0	1	1	1	3
	3	78,000	5	1	1	1	0	1	1	1	5
	2	30,000	1	1	1	1	0	0	1	1	1
	3				1		0		0		
18	2	25,000	1	1	1	0	1	1	1	0	3
24	4				1						
30	3	60,000	23	1	1	1	0	1	1	1	5
	3				1		0				
17	3	30,000	2	1	1	1	0	0	1	1	3
4	2	15,000	1	1	1	1	0	0	1	1	3
14	2		1	1	1	1	0	0	1	1	3
	3	300,000	58	0	1	1	0	1	1	1	4
18	2	12,000	2	0	1	1	0	0	1	1	3
8	3	150,000	45	1	1	1	0	0	1	1	3
31	4	360,000	56	0	1	1	0	0	1	1	5
15	5	100,000	52	1	1	0	0	0	1	1	1
8	2	60000	0.9	0	0	1	0	0	1	1	5
	3	384,000	1	1	1	1	0	0	0	1	4
12	4	25,000	0.9	0	1	1	1	1	1	1	5
	4	30000	2	0	1	1	0		1	1	3
	3	45000	0.9		1	1	0		0	0	
30	2	75000	0.9	0	1	1	0	1	1	1	5
	2	45000	1	0	1	1	0	1	11	0	4
7	3		1	1	1	1	0	1	1	1	5
15	3	80,000	1	0	1	1	0	1	1	1	5
26	3	11,500	1	0	1	1	0	1	1	1	5
25	4	70,000	1	0	1	1	0	0	1	1	5
20	4	70000	1	0	1	1	0	1	1	1	5
